Iteration 39936, Policy Loss: 5.1832, Value Loss: 1054.7491, Entropy Bonus: 1.3173, Failures: 19, Successes: 0
Iteration 40960, Policy Loss: 11.4705, Value Loss: 8609.6092, Entropy Bonus: 1.3165, Failures: 56, Successes: 0
Evaluation at iteration 40960: Average Return: -19.0031
Iteration 41984, Policy Loss: 20.3821, Value Loss: 14358.5295, Entropy Bonus: 1.3287, Failures: 108, Successes: 0
Iteration 43008, Policy Loss: 16.7938, Value Loss: 10648.3013, Entropy Bonus: 1.3248, Failures: 75, Successes: 0
Iteration 44032, Policy Loss: 7.8032, Value Loss: 3470.9706, Entropy Bonus: 1.3133, Failures: 36, Successes: 0
Iteration 45056, Policy Loss: 17.7547, Value Loss: 11593.7007, Entropy Bonus: 1.3262, Failures: 94, Successes: 0
Iteration 46080, Policy Loss: 16.5529, Value Loss: 11781.0190, Entropy Bonus: 1.3233, Failures: 92, Successes: 0
Iteration 47104, Policy Loss: 8.3697, Value Loss: 3379.5103, Entropy Bonus: 1.3134, Failures: 30, Successes: 0
Iteration 48128, Policy Loss: 9.4234, Value Loss: 4628.0797, Entropy Bonus: 1.3171, Failures: 38, Successes: 0
Iteration 49152, Policy Loss: 16.9379, Value Loss: 12810.1473, Entropy Bonus: 1.3208, Failures: 94, Successes: 0
Iteration 50176, Policy Loss: 16.8192, Value Loss: 9620.4102, Entropy Bonus: 1.3222, Failures: 84, Successes: 0
Iteration 51200, Policy Loss: 16.2260, Value Loss: 12788.2352, Entropy Bonus: 1.3225, Failures: 87, Successes: 0
Evaluation at iteration 51200: Average Return: -52.0187
Iteration 52224, Policy Loss: 3.9577, Value Loss: 658.0188, Entropy Bonus: 1.3032, Failures: 2, Successes: 0
Iteration 53248, Policy Loss: 9.7835, Value Loss: 4161.8416, Entropy Bonus: 1.3121, Failures: 37, Successes: 0
Iteration 54272, Policy Loss: 14.6661, Value Loss: 8395.6866, Entropy Bonus: 1.3169, Failures: 76, Successes: 0
Iteration 55296, Policy Loss: 14.6085, Value Loss: 8261.6127, Entropy Bonus: 1.3199, Failures: 57, Successes: 0
Iteration 56320, Policy Loss: 7.6046, Value Loss: 3436.8309, Entropy Bonus: 1.3071, Failures: 33, Successes: 0
Iteration 57344, Policy Loss: 11.3163, Value Loss: 7160.1872, Entropy Bonus: 1.3134, Failures: 59, Successes: 0
Iteration 58368, Policy Loss: 8.1215, Value Loss: 2738.0976, Entropy Bonus: 1.3095, Failures: 31, Successes: 0
Iteration 59392, Policy Loss: 6.9639, Value Loss: 2368.7459, Entropy Bonus: 1.3079, Failures: 35, Successes: 0
Iteration 60416, Policy Loss: 9.6882, Value Loss: 4576.1708, Entropy Bonus: 1.3057, Failures: 43, Successes: 0
Iteration 61440, Policy Loss: 16.0380, Value Loss: 11035.0950, Entropy Bonus: 1.3186, Failures: 84, Successes: 0
Evaluation at iteration 61440: Average Return: -15.1344
Iteration 62464, Policy Loss: 20.1222, Value Loss: 13446.6893, Entropy Bonus: 1.3242, Failures: 94, Successes: 0
Iteration 63488, Policy Loss: 5.5081, Value Loss: 1112.6417, Entropy Bonus: 1.3084, Failures: 12, Successes: 0
